"","fare_amount","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","pickup_date","pickup_hour","pickup_month","pickup_year","pickup_day_of_week","pickup_day","trip_distance"
"66",7.5,-74.004736,40.715882,-74.017723,40.705141,1,"1372",17,10,2012,1,7,1.00780593770318
"67",8.5,-73.991467,40.750575,-73.98575,40.741547,4,"1839",9,1,2014,6,17,0.692621628343434
"68",16.5,-73.970323,40.75084,-73.998392,40.724862,6,"1941",18,4,2014,3,29,2.32230678917553
"69",11.5,-73.97927856,40.72343826,-74.00460815,40.74694824,6,"2288",10,4,2015,1,12,2.0992985194156
"70",14.34,-73.95479584,40.77933502,-73.94493103,40.78008652,1,"2318",23,5,2015,3,12,0.519306216930988
"71",6.9,-73.995781,40.723411,-74.005004,40.71895,2,"214",2,8,2009,1,2,0.573580519255736
"72",3.7,-74.00163,40.730767,-73.997112,40.737533,1,"396",10,1,2010,1,31,0.524508744723134
"73",6.9,-73.955118,40.768942,-73.963495,40.761887,2,"498",8,5,2010,6,14,0.656311778709208
"74",10.1,-73.977788,40.771838,-73.9662,40.778113,2,"1233",15,5,2012,2,21,0.746219261994481
"75",16.5,-73.9828,40.745287,-74.01425,40.702935,1,"2164",16,12,2014,2,8,3.36157224096961
"76",15.07,-73.961933,40.795585,-73.962253,40.764817,2,"592",1,8,2010,2,16,2.12831085606815
"77",7.7,-73.996601,40.736569,-73.982152,40.744322,1,"702",14,12,2010,7,4,0.927918482407437
"78",19.01,-74.006662,40.73121,-73.92594,40.825588,1,"951",4,8,2011,6,12,7.77781544777386
"79",7,-73.988425,40.764342,-74.001642,40.745752,2,"1494",22,2,2013,4,6,1.46051453457818
"80",8.5,-73.994128,40.735087,-73.986393,40.751461,1,"1984",22,6,2014,4,11,1.20295759559066
"81",5.7,-73.97383,40.763717,-73.98942,40.771522,1,"595",16,8,2010,5,19,0.979029809605311
"82",5,-74.01336,40.702272,-74.01699,40.709245,1,"1526",15,3,2013,1,10,0.518527096268244
"83",8.5,-73.95371,40.790813,-73.957015,40.777676,1,"1622",8,6,2013,6,14,0.925035510160257
"84",17,-74.009728,40.705167,-73.970897,40.749307,1,"1646",21,7,2013,2,8,3.66950017920881
"85",8,-73.950688,40.828531,-73.964101,40.80814,1,"1902",11,3,2014,6,21,1.57556122245814
"86",12,-73.995387,40.749482,-73.975789,40.748741,1,"2097",13,10,2014,5,2,1.02825303498558
"87",12.5,-73.917399,40.746485,-73.973756,40.763836,1,"969",8,8,2011,4,31,3.1875319022654
"88",7.5,-73.990815,40.730495,-73.978337,40.751085,1,"1961",6,5,2014,2,19,1.56718651774568
"89",6.9,-74.007443,40.732547,-73.991112,40.742312,5,"1187",5,4,2012,5,5,1.09034296941746
"90",5,-73.98874664,40.74495316,-73.99568176,40.74422073,2,"2249",14,3,2015,4,4,0.366953171038853
"91",10.5,-74.001135,40.730979,-73.984424,40.76463,1,"481",21,4,2010,3,27,2.48694255253864
"92",7.7,-73.968881,40.764533,-73.985311,40.748956,1,"781",11,2,2011,3,22,1.37914377968055
"93",11,-73.98105621,40.77426529,-73.95904541,40.78067398,2,"2279",16,4,2015,6,3,1.23520444699925
"94",5.7,-73.992826,40.751271,-73.982786,40.742432,1,"9",15,1,2009,6,9,0.806614621969029
"95",9,-73.946852,40.775802,-73.96434,40.760703,1,"1466",14,1,2013,4,9,1.38928293248909
"96",13.5,-73.950655,40.783282,-73.984365,40.769802,1,"1644",17,7,2013,7,6,1.99681208676875
"97",7.5,-73.976512,40.765277,-73.977672,40.778052,1,"1738",17,10,2013,3,8,0.885742859806656
"98",9,-73.984977,40.752122,-74.000925,40.757982,3,"2163",12,12,2014,1,7,0.928753438299768
"99",14,-73.9792099,40.7236824,-74.01746368,40.71139526,1,"2323",8,5,2015,1,17,2.17818391936158
"100",5.7,-73.983052,40.722588,-73.988022,40.733738,3,"887",0,6,2011,5,9,0.814065592066871
"101",10,-74.002581,40.739572,-73.99458,40.760682,1,"2138",12,11,2014,4,12,1.51919296331612
"102",5.7,-73.993452,40.761447,-73.979662,40.759618,5,"519",14,6,2010,6,4,0.7334926345982
"103",9.7,-73.970705,40.761643,-73.992833,40.727647,2,"676",20,11,2010,2,8,2.6219124287387
"104",14.1,-73.974492,40.751369,-74.010585,40.703364,1,"796",7,3,2011,4,9,3.82171673441353
"105",7.7,-73.991607,40.76318,-73.982718,40.76239,2,"943",10,8,2011,5,4,0.468900748115399
"106",5.5,-74.035839,40.74732,-74.035839,40.74732,1,"84",0,3,2009,4,25,0
"107",11.3,-74.00767,40.732177,-73.974663,40.758932,1,"445",10,3,2010,2,22,2.53316092516049
"108",8.5,-73.986681,40.725659,-73.977068,40.754504,1,"1176",9,3,2012,1,25,2.05785433770054
"109",12.9,-73.965315,40.790852,-73.978195,40.766375,6,"1248",9,6,2012,3,5,1.82255232851182
"110",9.5,-73.972195,40.765883,-73.967942,40.761951,1,"1402",11,11,2012,3,6,0.351596039103719
"111",9,-73.982272,40.748357,-73.969325,40.763877,1,"1964",18,5,2014,5,22,1.26990624668918
"112",10,-73.991797,40.735262,-73.975915,40.748697,6,"2112",8,10,2014,6,17,1.24755816439406
"113",18.42,-73.95331,40.787772,-73.944352,40.719772,1,"1432",18,12,2012,5,6,4.72697174547338
"114",9,-73.96083,40.77308,-73.978372,40.774907,1,"1432",18,12,2012,5,6,0.927541610850908
"115",17,-73.97339,40.743883,-73.954021,40.766063,1,"2023",12,7,2014,1,20,1.83950594398286
"116",6.1,-74.000122,40.74308,-74.00615,40.734233,5,"25",18,1,2009,1,25,0.688693050054368
"117",14.5,-73.961598,40.716487,-73.960417,40.674963,2,"450",2,3,2010,7,27,2.87291288699345
"118",3.7,-73.966957,40.761268,-73.967912,40.765535,1,"733",17,1,2011,4,5,0.299362181778069
"119",18.51,-73.872862,40.774105,-73.970593,40.764393,2,"1223",15,5,2012,6,11,5.16363622050227
"120",5.3,-73.995083,40.739527,-73.999599,40.726264,3,"368",10,1,2010,1,3,0.947456011064062
"121",11.5,-73.972018,40.750142,-74.006008,40.73622,5,"1404",21,11,2012,5,8,2.02494469327255
"122",4,-73.993701,40.741569,-73.987999,40.748834,1,"1784",23,11,2013,7,23,0.584654964669592
"123",10.5,-73.966473,40.7575,-73.993336,40.745051,1,"532",16,6,2010,5,17,1.65012886899668
"124",17.7,-73.87082,40.773748,-73.808317,40.7003,1,"1323",19,8,2012,1,19,6.04502790265287
"126",5,-73.971696,40.763378,-73.962035,40.776598,1,"1587",16,5,2013,6,10,1.04514549079172
"127",6.54,-73.98721,40.729325,-73.931985,40.697207,1,"1717",4,9,2013,3,17,3.64956326569315
"128",8,-73.988492,40.717977,-73.97818,40.737407,1,"1828",21,1,2014,2,6,1.44861622387193
"129",7.3,-73.986588,40.72165,-74.008005,40.717167,2,"637",8,9,2010,5,30,1.16482888282059
"130",6.5,-73.98213,40.774807,-73.973583,40.789645,5,"1371",15,10,2012,7,6,1.11973289728818
"131",8,-74.002843,40.733692,-73.987882,40.72859,1,"1499",0,2,2013,2,11,0.859948822201158
"132",16.5,-73.983837,40.676052,-74.002522,40.723145,1,"2077",23,9,2014,6,12,3.40163959877784
"133",7.74,-73.977023,40.7526,-73.79031,40.643783,2,"265",21,9,2009,3,22,12.350336377819
"134",10.5,-73.988006,40.737723,-73.965699,40.766095,1,"1125",13,2,2012,6,3,2.28423710575406
"135",16.9,-73.9882,40.75909,-73.923683,40.86861,5,"1134",1,2,2012,1,12,8.29439924458934
"136",11.5,-73.947472,40.771227,-73.981832,40.760272,1,"1447",6,12,2012,6,21,1.95307609644996
"137",12.5,-73.984723,40.748023,-73.977245,40.757891,2,"2127",16,11,2014,7,1,0.787050993896241
"138",5.5,-73.950305,40.785607,-73.943587,40.789532,1,"1483",18,1,2013,7,26,0.444405342069249
"139",6.5,-73.980735,40.747911,-73.97053,40.761998,1,"1597",11,5,2013,2,20,1.11148177289031
"140",16.5,-73.99698639,40.75542831,-73.95319366,40.80210114,3,"2337",7,5,2015,1,31,3.96031051798549
"141",9,-74.00344849,40.73310089,-74.00800323,40.70721436,1,"2232",22,2,2015,1,15,1.80644105309434
"142",8.9,-73.9578,40.768003,-73.981712,40.763392,1,"176",10,6,2009,5,25,1.29268918369947
"143",10.9,-73.983735,40.746697,-73.954411,40.772219,1,"204",17,7,2009,5,23,2.34031353717963
"144",8.9,-73.98103,40.729782,-73.993011,40.752803,1,"806",15,3,2011,7,19,1.71170473625018
"145",8.5,-73.963115,40.774034,-73.975251,40.760823,1,"853",11,5,2011,6,6,1.11322395204024
"146",17,-73.962458,40.759027,-73.986199,40.753397,1,"1496",9,2,2013,6,8,1.30347689934169
"147",12.5,-74.003848,40.720855,-73.98098,40.668304,1,"600",1,8,2010,3,24,3.82772851993462
"148",14.43,-73.982265,40.762062,-73.76855,40.675135,1,"1955",22,5,2014,3,13,12.7156810434587
"149",16,-74.005677,40.745547,-73.962663,40.794295,1,"2120",21,10,2014,7,25,4.05553563593753
"150",8,-73.98548889,40.74728012,-74.00767517,40.74076843,1,"2295",22,4,2015,1,19,1.24689047801896
"151",17.3,-73.950972,40.785633,-74.01024,40.720302,1,"501",7,5,2010,2,17,5.48324127350037
"152",5.7,-74.00844,40.711253,-74.001313,40.731078,1,"1025",3,10,2011,4,26,1.42129747936146
"153",5.5,-73.98091125,40.74206543,-73.97698975,40.75165558,1,"2294",9,4,2015,7,18,0.694459642473141
"154",16.5,-73.974938,40.762091,-74.003309,40.706195,2,"58",13,2,2009,6,27,4.14246990352113
"155",12.9,-73.980755,40.680558,-73.98911,40.726788,2,"197",20,7,2009,5,16,3.22763581118812
"156",10.1,-73.991245,40.739058,-73.992972,40.76768,1,"863",13,5,2011,2,16,1.98187150960673
"157",9.5,-73.992583,40.730417,-74.005352,40.740247,1,"1678",21,8,2013,6,9,0.954064230049271
"158",4.5,-73.979872,40.749027,-73.976553,40.757498,5,"437",15,3,2010,1,14,0.611209438956176
"159",6.5,-73.971541,40.764009,-73.975937,40.755971,1,"844",13,4,2011,4,27,0.60181199578955
"160",21.5,-74.00109863,40.72149658,-73.95943451,40.65306473,1,"2216",0,1,2015,6,30,5.2135812401028
"161",8,-73.975189,40.759095,-73.98051,40.76761,1,"2130",12,11,2014,3,4,0.65162966326554
"162",4.9,-74.003018,40.73978,-73.991533,40.733091,1,"361",21,12,2009,1,27,0.759224358401352
"163",5.7,-73.991037,40.750049,-73.980438,40.75193,2,"549",13,7,2010,1,4,0.570429996303013
"164",15.3,-73.949477,40.768018,-74.003118,40.733022,5,"890",13,6,2011,1,12,3.70952647506303
"165",14.9,-73.992214,40.758864,-73.9938,40.722718,1,"1332",12,8,2012,3,28,2.50162628529303
"166",7,-73.999998,40.727087,-73.992448,40.735602,1,"1407",18,11,2012,1,11,0.709590444292798
"167",15.1,-73.863891,40.770005,-74.007246,40.705533,1,"1540",18,3,2013,1,24,8.73719324433644
"168",8.5,-73.954598,40.78676,-73.966013,40.768112,1,"2047",8,8,2014,4,13,1.42173563399137
"169",11.73,-73.994143,40.751193,-73.988897,40.759742,1,"16",21,1,2009,6,16,0.652104075764896
"170",4.1,-73.982279,40.768364,-73.985968,40.762939,1,"749",18,1,2011,6,21,0.422094799849791
"171",11.7,-73.981496,40.781004,-73.99592,40.738813,1,"785",20,2,2011,7,26,3.01464300151807
"172",19.24,-73.997728,40.746099,-73.947656,40.829451,1,"1630",2,6,2013,7,22,6.33386959294376
"173",5.7,-73.982357,40.762498,-73.97321,40.755345,2,"157",23,6,2009,7,6,0.688829841042434
"174",5.3,-73.96707,40.769178,-73.954895,40.77821,1,"24",9,1,2009,7,24,0.892775820195297
"175",10.5,-73.94402313,40.77595901,-73.95504761,40.78507996,2,"2244",7,2,2015,6,27,0.855257872795771
"176",4.9,-73.982095,40.774001,-73.975373,40.787111,1,"84",14,3,2009,4,25,0.972778256726156
"177",6.5,-73.98353,40.766992,-73.986255,40.779708,4,"617",18,9,2010,6,10,0.891082351090604
"178",11.3,-73.981154,40.729204,-74.007407,40.74851,2,"969",13,8,2011,4,31,1.91741547353048
"179",11.5,-73.963511,40.761732,-73.917488,40.739776,1,"1559",4,4,2013,6,12,2.84999782774442
"180",5.3,-73.983415,40.761844,-73.990414,40.756375,2,"149",9,5,2009,6,29,0.526859177327303
"181",5.7,-74.006055,40.733166,-74.002895,40.74553,1,"560",19,7,2010,5,15,0.87111490288772
"182",8.1,-73.952198,40.788107,-73.980767,40.774995,1,"250",18,9,2009,2,7,1.74975135483846
"183",6.1,-74.008083,40.719238,-73.99832,40.737977,1,"524",6,6,2010,4,9,1.39355873526387
"184",9.3,-73.995636,40.746573,-73.984437,40.767145,1,"1197",17,4,2012,1,15,1.53921584328123
"185",4.5,-73.972072,40.755692,-73.972082,40.755727,2,"1494",14,2,2013,4,6,0.00247702732832935
"186",5.7,-73.99049,40.755982,-73.974202,40.75421,4,"1073",5,12,2011,3,13,0.862204020358479
"187",16.5,-73.95485,40.76542,-74.00751,40.73877,2,"2030",8,7,2014,1,27,3.31846738314863
"188",17,-73.954462,40.764046,-73.994593,40.729272,2,"1614",15,6,2013,5,6,3.19505540950718
"189",12.37,-74.01278,40.707952,-73.997932,40.760632,6,"2015",15,7,2014,7,12,3.72609215237925
"190",6.1,-74.005278,40.735298,-73.986698,40.729892,1,"509",20,5,2010,3,25,1.0431942034818
"191",6,-74.004935,40.729625,-74.016156,40.71741,1,"1343",0,9,2012,7,8,1.02951649221291
"192",6.5,-73.998488,40.726303,-73.998488,40.726303,1,"1830",21,1,2014,4,8,0
"194",4.5,-73.9265,40.765577,-73.937897,40.76451,3,"1334",18,8,2012,5,30,0.601626921486635
"195",17.77,-73.987285,40.718622,-73.959295,40.778482,1,"1579",7,5,2013,5,2,4.39267270271321
"196",16,-73.996652,40.744495,-73.980253,40.737635,3,"1858",0,2,2014,4,5,0.98173622706374
"197",16.1,-73.959222,40.763282,-73.9633,40.716935,1,"377",17,1,2010,3,12,3.21297184619396
"198",15.7,-73.974895,40.751455,-73.981754,40.783542,2,"675",17,11,2010,1,7,2.24837970572319
"199",14.09,-73.863072,40.768622,-73.982145,40.736167,6,"1204",0,4,2012,1,22,6.63093587019271
"200",5.5,-73.989692,40.735497,-73.982012,40.739392,1,"1462",21,1,2013,7,5,0.484363447502143
"201",6,-74.00031,40.747961,-73.993636,40.757229,1,"1735",9,10,2013,7,5,0.73025696695955
"202",7.7,-74.00145,40.717487,-74.017455,40.709785,1,"320",23,11,2009,2,16,0.993973983046512
"203",12.9,-73.985185,40.72777,-73.980605,40.759143,1,"822",11,4,2011,3,5,2.1833265113569
"204",11.3,-73.993973,40.746577,-74.00506,40.709365,2,"1207",20,4,2012,4,25,2.63877470360842
"205",20.01,-73.795677,40.807722,-73.978683,40.724365,2,"738",16,1,2011,2,10,11.1876780675802
"206",5.7,-73.98637,40.74738,-73.975567,40.744572,2,"742",18,1,2011,6,14,0.598518293931662
"207",5.3,-73.948001,40.77854,-73.958566,40.778483,2,"1184",8,4,2012,2,2,0.55339653242807
"208",10.5,-73.954108,40.766901,-73.984133,40.743475,1,"405",8,2,2010,4,10,2.25847677042432
"209",7.3,-73.994009,40.76144,-73.972811,40.792574,1,"878",22,5,2011,3,31,2.42295432462261
"210",4.5,-73.995331,40.739986,-73.987655,40.736707,1,"995",9,9,2011,2,26,0.461834226373704
"211",12.5,-73.982332,40.768633,-73.983343,40.744372,1,"1388",8,10,2012,3,23,1.67898681049021
"212",16.5,-73.9952,40.731697,-73.94977,40.780347,1,"1707",22,9,2013,7,7,4.12194898610993
"213",4.9,-74.002707,40.72664,-73.991825,40.72722,2,"1304",19,7,2012,3,31,0.571838015942609
"214",4.1,-73.990953,40.733067,-73.996235,40.72557,1,"965",8,8,2011,6,26,0.587856089393197
"215",15.5,-73.985132,40.76853,-74.002285,40.730008,1,"1533",12,3,2013,1,17,2.81211581927625
"216",11,-73.97221375,40.76557159,-73.97958374,40.73646927,1,"2331",15,5,2015,2,25,2.04973844460732
"217",4.9,-73.998287,40.72749,-73.989854,40.735239,2,"98",19,4,2009,4,8,0.694755764773412
"218",11.3,-73.980196,40.726966,-73.956413,40.77547,1,"157",1,6,2009,7,6,3.57903821458166
"219",7.3,-73.983758,40.74643,-73.963557,40.774088,2,"786",14,2,2011,1,27,2.18637702113319
"220",14.9,-73.955268,40.782767,-73.932382,40.794812,6,"1104",11,1,2012,6,13,1.45969041177623
"221",16.34,-73.981942,40.763977,-73.870455,40.773607,5,"1167",7,3,2012,6,16,5.87827737725168
"222",6.1,-73.98972,40.75238,-74.007553,40.743197,1,"1261",20,6,2012,2,18,1.12994235782397
"223",3.3,-73.995802,40.749905,-73.994543,40.750907,1,"418",9,2,2010,3,23,0.0956878498913644
"224",4.1,-73.991863,40.754275,-73.983796,40.753213,1,"1097",7,1,2012,6,6,0.429033289205781
"225",12,-73.973857,40.764185,-73.994435,40.750242,3,"2024",14,7,2014,2,21,1.44660579652105
"226",9,-73.991485,40.754599,-74.00497,40.751693,1,"2039",11,8,2014,3,5,0.734633447736728
"227",2.5,-73.989142,40.720105,-73.988777,40.720662,1,"1180",3,3,2012,5,29,0.0430181605651551
"228",8.9,-73.98948,40.743287,-73.965692,40.754512,1,"1273",13,6,2012,7,30,1.46858134364203
"229",10.5,-73.978991,40.72375,-73.963046,40.711855,1,"1853",4,1,2014,6,31,1.1729355938805
"230",5.7,-74.000552,40.727492,-74.005037,40.719123,1,"684",19,11,2010,3,16,0.624813649579448
"231",7,-74.002462,40.718762,-74.007071,40.705536,2,"1441",19,12,2012,7,15,0.946230088533392
"232",12,-73.984997,40.768466,-73.944564,40.800466,1,"2023",23,7,2014,1,20,3.06330454656323
"233",9.35,-73.982483,40.75674,-73.789985,40.64691,1,"508",14,5,2010,2,24,12.6337870509018
"235",4.5,-73.947035,40.776027,-73.955498,40.764307,1,"1322",18,8,2012,7,18,0.9239869836657
"236",7.3,-73.977897,40.762802,-73.99153,40.750252,5,"220",21,8,2009,7,8,1.12420354051401
"237",5.3,-73.986402,40.754723,-73.998898,40.739248,1,"373",0,1,2010,6,8,1.25483201994727
"238",6.9,-73.967425,40.755712,-73.983035,40.734913,5,"626",19,9,2010,1,19,1.6549920590979
"239",9.3,-73.971088,40.792648,-73.968405,40.769673,1,"1228",18,5,2012,4,16,1.59539843531454
"240",6.7,-73.959669,40.779718,-73.976259,40.788413,1,"44",16,2,2009,6,13,1.056741855517
"241",9.88,-73.979345,40.77663,-73.973842,40.757074,1,"171",19,6,2009,7,20,1.38308224006444
"242",9,-73.98088,40.779967,-73.953747,40.78777,1,"1703",8,9,2013,3,3,1.52012772348723
"243",13,-74.008125,40.738935,-73.980522,40.759953,2,"1477",14,1,2013,1,20,2.05081144790686
"244",19,-73.988834,40.76428,-73.941405,40.838664,1,"1669",6,7,2013,4,31,5.71317706210977
"245",5.5,-73.976474,40.765048,-73.964665,40.762986,1,"1709",22,9,2013,2,9,0.634904876937399
"246",8.1,-73.996068,40.732605,-73.980675,40.761862,1,"23",7,1,2009,6,23,2.17856696443434
"247",9.3,-73.973211,40.760752,-73.974265,40.788281,1,"777",13,2,2011,6,18,1.90500110403495
"248",18,-73.997845,40.721235,-73.988257,40.764125,1,"1588",19,5,2013,7,11,3.00898426232103
"249",12,-73.984227,40.766897,-73.96239,40.776037,1,"2078",12,9,2014,7,13,1.30700087205654
"250",7.3,-73.968534,40.752603,-73.992625,40.742916,1,"111",22,4,2009,3,21,1.42924375240264
"251",4.9,-73.95554,40.781958,-73.962196,40.772095,2,"269",15,9,2009,7,26,0.766152565697145
"252",16.1,-73.789506,40.64704,-73.815622,40.680364,1,"512",21,5,2010,6,28,2.68158922905475
"253",12.9,-73.978602,40.76412,-74.008858,40.715637,2,"849",8,5,2011,2,2,3.70959452018503
"254",4,-73.9619751,40.7761116,-73.95484924,40.77407455,1,"2231",19,2,2015,7,14,0.398973248549316
"255",15.3,-74.006636,40.751407,-73.954979,40.765281,1,"849",12,5,2011,2,2,2.87165741809256
"256",11.7,-73.954497,40.769857,-73.984315,40.746007,1,"1267",17,6,2012,1,24,2.27209452115063
"257",16.83,-74.001343,40.74132,-73.928619,40.864267,1,"506",23,5,2010,7,22,9.31788878245561
"258",8.9,-73.993112,40.719911,-73.956729,40.720723,1,"545",2,6,2010,4,30,1.90819477305066
"259",6,-73.978778,40.753502,-73.973247,40.748147,1,"1573",2,4,2013,6,26,0.470322577079297
"260",6,-73.99578,40.716218,-74.009132,40.72078,1,"1579",3,5,2013,5,2,0.767832914769196
"261",6.5,-74.003665,40.736906,-73.997843,40.724187,1,"751",11,1,2011,1,23,0.931206587497162
"262",7.5,-73.97733,40.74948,-73.987669,40.732709,1,"1379",21,10,2012,1,14,1.28036930256019
"263",16.5,-74.00399017,40.74797821,-73.98319244,40.75632858,1,"2306",14,4,2015,5,30,1.23339866484176
"265",9.7,-73.962981,40.766443,-73.98893,40.731434,1,"1099",19,1,2012,1,8,2.77725538142479
