fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,pickup_date,pickup_day,pickup_hour,pickup_month,pickup_year,pickup_day_of_week,trip_distance
15.3,-73.97151,40.755886,-73.968067,40.801173,1.0,1094.0,4.0,18.0,1.0,2012.0,3,3.134210414952073
10.26,-73.985427,40.758853,-73.872907,40.774497,1.0,514.0,31.0,18.0,5.0,2010.0,1,5.98651036906882
9.7,-73.97954200000001,40.727498,-73.999315,40.730088,4.0,805.0,19.0,21.0,3.0,2011.0,6,1.0506539483533759
13.7,-74.002113,40.739582,-73.971918,40.791899,2.0,1291.0,19.0,23.0,7.0,2012.0,4,3.9450239769533275
6.5,-73.98543000000001,40.736011,-73.982501,40.724802000000004,1.0,81.0,23.0,12.0,3.0,2009.0,1,0.7895046504555953
5.0,-73.996148,40.741890000000005,-73.992202,40.739425,6.0,2018.0,16.0,10.0,7.0,2014.0,3,0.2677306911547654
4.5,-74.009137,40.713436,-74.00282299999999,40.723428000000006,3.0,838.0,22.0,23.0,4.0,2011.0,5,0.7654761280239221
4.9,-74.003985,40.731677000000005,-73.999765,40.723512,1.0,1092.0,2.0,14.0,1.0,2012.0,1,0.605875724134167
7.0,-73.96620300000001,40.7675,-73.980915,40.77424,6.0,1942.0,1.0,9.0,5.0,2014.0,4,0.8997193807573284
7.3,-74.003919,40.753019,-73.992368,40.735362,1.0,1036.0,7.0,10.0,11.0,2011.0,1,1.3616059542147725
7.5,-74.004736,40.715882,-74.017723,40.705141,1.0,1371.0,7.0,17.0,10.0,2012.0,0,1.00667823722678
8.5,-73.991467,40.750575,-73.98575,40.741547,4.0,1838.0,17.0,9.0,1.0,2014.0,5,0.6918466076767764
16.5,-73.970323,40.750840000000004,-73.99839200000001,40.724862,6.0,1940.0,29.0,18.0,4.0,2014.0,2,2.3197082059071183
11.5,-73.97927856,40.72343826,-74.00460815,40.74694824,6.0,2287.0,12.0,10.0,4.0,2015.0,0,2.096949475117778
11.51,-73.95479584,40.77933502,-73.94493103,40.78008652,1.0,2317.0,12.0,23.0,5.0,2015.0,2,0.5187251293270765
6.9,-73.99578100000001,40.723411,-74.005004,40.71895,2.0,213.0,2.0,2.0,8.0,2009.0,0,0.5729387008002644
3.7,-74.00163,40.730767,-73.997112,40.737533,1.0,395.0,31.0,10.0,1.0,2010.0,0,0.5239218367897571
6.9,-73.955118,40.768941999999996,-73.963495,40.761887,2.0,497.0,14.0,8.0,5.0,2010.0,5,0.6555773893510801
10.1,-73.977788,40.771838,-73.9662,40.778113,2.0,1232.0,21.0,15.0,5.0,2012.0,1,0.7453842663025524
16.5,-73.9828,40.745287,-74.01425,40.702935,1.0,2163.0,8.0,16.0,12.0,2014.0,1,3.357810754629885
15.07,-73.961933,40.795584999999996,-73.962253,40.764817,2.0,591.0,16.0,1.0,8.0,2010.0,1,2.125929347720638
7.7,-73.996601,40.736569,-73.982152,40.744322,1.0,701.0,4.0,14.0,12.0,2010.0,6,0.9268801718718731
10.35,-74.006662,40.73121,-73.92594,40.825588,1.0,950.0,12.0,4.0,8.0,2011.0,5,7.769112334438441
7.0,-73.988425,40.764342,-74.001642,40.745752,2.0,1493.0,6.0,22.0,2.0,2013.0,3,1.458880267499696
8.5,-73.994128,40.735087,-73.986393,40.751461,1.0,1983.0,11.0,22.0,6.0,2014.0,3,1.2016115273897447
5.7,-73.97383,40.763717,-73.98942,40.771522,1.0,594.0,19.0,16.0,8.0,2010.0,4,0.9779343074391338
5.0,-74.01335999999999,40.702272,-74.01699,40.709245,1.0,1525.0,10.0,15.0,3.0,2013.0,0,0.5179468801960556
8.5,-73.95371,40.790813,-73.957015,40.777676,1.0,1621.0,14.0,8.0,6.0,2013.0,5,0.9240004270388023
17.0,-74.00972800000001,40.705166999999996,-73.970897,40.749307,1.0,1645.0,8.0,21.0,7.0,2013.0,1,3.665394131931653
8.0,-73.950688,40.828531,-73.964101,40.80814,1.0,1901.0,21.0,11.0,3.0,2014.0,5,1.5737982224271223
12.0,-73.995387,40.749482,-73.975789,40.748740999999995,1.0,2096.0,2.0,13.0,10.0,2014.0,4,1.0271024534779798
12.5,-73.917399,40.746485,-73.97375600000001,40.763836,1.0,968.0,31.0,8.0,8.0,2011.0,3,3.183965161680305
7.5,-73.990815,40.730495,-73.978337,40.751084999999996,1.0,1960.0,19.0,6.0,5.0,2014.0,1,1.565432888641474
6.9,-74.00744300000001,40.732547,-73.991112,40.742312,5.0,1186.0,5.0,5.0,4.0,2012.0,4,1.0891229115793184
5.0,-73.98874664,40.74495316,-73.99568176,40.74422073,2.0,2248.0,4.0,14.0,3.0,2015.0,3,0.36654256017875203
10.5,-74.00113499999999,40.730979,-73.984424,40.76463,1.0,480.0,27.0,21.0,4.0,2010.0,2,2.4841597471639
7.7,-73.96888100000001,40.764533,-73.985311,40.748956,1.0,780.0,22.0,11.0,2.0,2011.0,2,1.377600563881648
11.0,-73.98105621,40.77426529,-73.95904541,40.78067398,2.0,2278.0,3.0,16.0,4.0,2015.0,5,1.2338222955475284
5.7,-73.99282600000001,40.751271,-73.982786,40.742432,1.0,8.0,9.0,15.0,1.0,2009.0,5,0.8057120459105834
9.0,-73.946852,40.775802,-73.96434,40.760703,1.0,1465.0,9.0,14.0,1.0,2013.0,3,1.387728370780925
13.5,-73.950655,40.783282,-73.984365,40.769802,1.0,1643.0,6.0,17.0,7.0,2013.0,6,1.9945777209656494
7.5,-73.976512,40.765277000000005,-73.977672,40.778052,1.0,1737.0,8.0,17.0,10.0,2013.0,2,0.8847517437649934
9.0,-73.984977,40.752122,-74.000925,40.757982,1.0,2162.0,7.0,12.0,12.0,2014.0,0,0.9277141936441332
14.0,-73.9792099,40.723682399999994,-74.01746368,40.71139526,1.0,2322.0,17.0,8.0,5.0,2015.0,0,2.175746605090312
5.7,-73.983052,40.722588,-73.988022,40.733738,3.0,886.0,9.0,0.0,6.0,2011.0,4,0.8131546794573398
10.0,-74.002581,40.739571999999995,-73.99458,40.760682,1.0,2137.0,12.0,12.0,11.0,2014.0,3,1.5174930378487874
5.7,-73.993452,40.761447,-73.979662,40.759617999999996,5.0,518.0,4.0,14.0,6.0,2010.0,5,0.7326718805772222
9.7,-73.97070500000001,40.761643,-73.99283299999999,40.727647,2.0,675.0,8.0,20.0,11.0,2010.0,1,2.618978597325351
14.1,-73.974492,40.751369,-74.01058499999999,40.703364,1.0,795.0,9.0,7.0,3.0,2011.0,3,3.8174403622978694
7.7,-73.991607,40.76318,-73.982718,40.76239,2.0,942.0,4.0,10.0,8.0,2011.0,4,0.46837606274039284
9.24,-74.035839,40.74732,-74.035839,40.74732,1.0,83.0,25.0,0.0,3.0,2009.0,3,0.0
11.3,-74.00766999999999,40.732177,-73.974663,40.758932,1.0,444.0,22.0,10.0,3.0,2010.0,1,2.5303264034203425
8.5,-73.986681,40.725659,-73.977068,40.754504,1.0,1175.0,25.0,9.0,3.0,2012.0,0,2.0555516677296732
12.9,-73.965315,40.790852,-73.978195,40.766375,6.0,1247.0,5.0,9.0,6.0,2012.0,2,1.8205129538874851
9.5,-73.972195,40.765883,-73.96794200000001,40.761951,1.0,1401.0,6.0,11.0,11.0,2012.0,2,0.35120261373161754
9.0,-73.982272,40.748357,-73.969325,40.763877,1.0,1963.0,22.0,18.0,5.0,2014.0,4,1.2684852638905764
10.0,-73.99179699999999,40.735262,-73.975915,40.748697,6.0,2111.0,17.0,8.0,10.0,2014.0,5,1.2461621890428376
8.83,-73.95331,40.787772,-73.944352,40.719772,2.0,1431.0,6.0,18.0,12.0,2012.0,4,4.721682423380809
9.0,-73.96083,40.77308,-73.978372,40.774907,1.0,1431.0,6.0,18.0,12.0,2012.0,4,0.9265037226216436
17.0,-73.97339000000001,40.743883000000004,-73.954021,40.766063,1.0,2022.0,20.0,12.0,7.0,2014.0,0,1.8374475985362746
6.1,-74.00012199999999,40.74308,-74.00615,40.734233,5.0,24.0,25.0,18.0,1.0,2009.0,0,0.6879224252726766
14.5,-73.961598,40.716487,-73.960417,40.674963,2.0,449.0,27.0,2.0,3.0,2010.0,6,2.869698194430152
3.7,-73.966957,40.761268,-73.967912,40.765535,1.0,732.0,5.0,17.0,1.0,2011.0,3,0.29902720645793757
14.4,-73.872862,40.774105,-73.97059300000001,40.764393,2.0,1222.0,11.0,15.0,5.0,2012.0,5,5.157858285618472
5.3,-73.995083,40.739527,-73.999599,40.726264,3.0,367.0,3.0,10.0,1.0,2010.0,0,0.9463958389483339
11.5,-73.972018,40.750142,-74.006008,40.73622,5.0,1403.0,8.0,21.0,11.0,2012.0,4,2.022678847924468
4.0,-73.993701,40.741569,-73.987999,40.748834,1.0,1783.0,23.0,23.0,11.0,2013.0,6,0.5840007569556757
10.5,-73.966473,40.7575,-73.993336,40.745051000000004,1.0,531.0,17.0,16.0,6.0,2010.0,4,1.6482824306926311
17.7,-73.87082,40.773748,-73.808317,40.7003,1.0,1322.0,19.0,19.0,8.0,2012.0,0,6.038263719953991
5.0,-73.971696,40.763378,-73.962035,40.776598,1.0,1586.0,10.0,16.0,5.0,2013.0,5,1.0439760084155705
9.33,-73.98721,40.729325,-73.931985,40.697207,1.0,1716.0,17.0,4.0,9.0,2013.0,2,3.6454795273349427
8.0,-73.98849200000001,40.717977000000005,-73.97818000000001,40.737407,1.0,1827.0,6.0,21.0,1.0,2014.0,1,1.4469952716417416
7.3,-73.986588,40.72165,-74.00800500000001,40.717166999999996,2.0,636.0,30.0,8.0,9.0,2010.0,4,1.1635254783569677
6.5,-73.98213,40.774807,-73.97358299999999,40.789645,5.0,1370.0,6.0,15.0,10.0,2012.0,6,1.118479954307907
8.0,-74.002843,40.733692,-73.987882,40.728590000000004,1.0,1498.0,11.0,0.0,2.0,2013.0,1,0.8589865684097567
16.5,-73.983837,40.676052,-74.002522,40.723145,1.0,2076.0,12.0,23.0,9.0,2014.0,5,3.3978332789261856
21.19,-73.977023,40.7526,-73.79030999999999,40.643783,2.0,264.0,22.0,21.0,9.0,2009.0,2,12.336516767585104
10.5,-73.988006,40.737722999999995,-73.965699,40.766095,2.0,1124.0,3.0,13.0,2.0,2012.0,5,2.2816811213006107
6.74,-73.9882,40.75909,-73.923683,40.86861,5.0,1133.0,12.0,1.0,2.0,2012.0,0,8.285118091236559
11.5,-73.94747199999999,40.771227,-73.981832,40.760272,1.0,1446.0,21.0,6.0,12.0,2012.0,5,1.9508906698628092
12.5,-73.984723,40.748022999999996,-73.977245,40.757891,2.0,2126.0,1.0,16.0,11.0,2014.0,6,0.786170309424689
5.5,-73.950305,40.785607,-73.943587,40.789532,1.0,1482.0,26.0,18.0,1.0,2013.0,6,0.44390806699307805
6.5,-73.980735,40.747911,-73.97053000000001,40.761998,1.0,1596.0,20.0,11.0,5.0,2013.0,1,1.1102380631573836
16.5,-73.99698639,40.75542831,-73.95319366,40.80210114,3.0,2336.0,31.0,7.0,5.0,2015.0,0,3.9558790641593924
9.0,-74.00344849,40.73310089,-74.00800323,40.70721436,1.0,2231.0,15.0,22.0,2.0,2015.0,0,1.8044197066710543
8.9,-73.9578,40.768003,-73.981712,40.763391999999996,1.0,175.0,25.0,10.0,6.0,2009.0,4,1.2912427084610698
10.9,-73.983735,40.746697,-73.954411,40.772219,1.0,203.0,23.0,17.0,7.0,2009.0,4,2.3376948049910133
8.9,-73.98103,40.729782,-73.993011,40.752803,1.0,805.0,19.0,15.0,3.0,2011.0,6,1.7097893968378726
8.5,-73.963115,40.774034,-73.975251,40.760822999999995,1.0,852.0,6.0,11.0,5.0,2011.0,5,1.1119782920413315
17.0,-73.962458,40.759027,-73.986199,40.753397,1.0,1495.0,8.0,9.0,2.0,2013.0,5,1.3020183517855968
12.5,-74.003848,40.720855,-73.98098,40.668304,1.0,599.0,24.0,1.0,8.0,2010.0,2,3.8234454207277193
12.11,-73.982265,40.762062,-73.76855,40.675135,1.0,1954.0,13.0,22.0,5.0,2014.0,2,12.701452624801085
16.0,-74.005677,40.745546999999995,-73.962663,40.794295,1.0,2119.0,25.0,21.0,10.0,2014.0,6,4.0509976281939375
8.0,-73.98548889,40.74728012,-74.00767517,40.74076843,1.0,2294.0,19.0,22.0,4.0,2015.0,0,1.245495249724064
17.3,-73.950972,40.785633000000004,-74.01024,40.720302000000004,1.0,500.0,17.0,7.0,5.0,2010.0,1,5.477105711335923
5.7,-74.00844000000001,40.711253,-74.001313,40.731078000000004,1.0,1024.0,26.0,3.0,10.0,2011.0,3,1.4197070946772927
5.5,-73.98091125,40.74206543,-73.97698975,40.75165558,1.0,2293.0,18.0,9.0,4.0,2015.0,6,0.6936825647439454
16.5,-73.974938,40.762091,-74.003309,40.706195,2.0,57.0,27.0,13.0,2.0,2009.0,5,4.137834619186123
12.9,-73.980755,40.680558000000005,-73.98911,40.726788,2.0,196.0,16.0,20.0,7.0,2009.0,4,3.2240241955710904
10.1,-73.99124499999999,40.739058,-73.992972,40.76768,1.0,862.0,16.0,13.0,5.0,2011.0,1,1.979653862545149
9.5,-73.992583,40.730416999999996,-74.005352,40.740247,1.0,1677.0,9.0,21.0,8.0,2013.0,5,0.9529966644191633
4.5,-73.979872,40.749027000000005,-73.97655300000001,40.757498,5.0,436.0,14.0,15.0,3.0,2010.0,0,0.6105255172163468
6.5,-73.971541,40.764009,-73.975937,40.755971,1.0,843.0,27.0,13.0,4.0,2011.0,3,0.6011385877169285
21.5,-74.00109863,40.72149658,-73.95943451,40.65306473,1.0,2215.0,30.0,0.0,1.0,2015.0,5,5.207747418591816
8.0,-73.975189,40.759095,-73.98051,40.76761,1.0,2129.0,4.0,12.0,11.0,2014.0,2,0.650900511339312
4.9,-74.00301800000001,40.739779999999996,-73.99153299999999,40.733090999999995,1.0,360.0,27.0,21.0,12.0,2009.0,0,0.7583748131339545
5.7,-73.991037,40.750049,-73.980438,40.75193,2.0,548.0,4.0,13.0,7.0,2010.0,0,0.56979170399431
15.3,-73.949477,40.768018,-74.003118,40.733022,5.0,889.0,12.0,13.0,6.0,2011.0,0,3.7053756398760824
14.9,-73.992214,40.758864,-73.9938,40.722718,1.0,1331.0,28.0,12.0,8.0,2012.0,2,2.498827049571475
7.0,-73.999998,40.727087,-73.992448,40.735602,1.0,1406.0,11.0,18.0,11.0,2012.0,0,0.7087964368468532
13.53,-73.86389100000001,40.770005,-74.007246,40.705533,1.0,1539.0,24.0,18.0,3.0,2013.0,0,8.727416619493038
8.5,-73.954598,40.78676,-73.966013,40.768112,1.0,2046.0,13.0,8.0,8.0,2014.0,3,1.4201447594206464
6.4,-73.99414300000001,40.751193,-73.988897,40.759741999999996,1.0,15.0,16.0,21.0,1.0,2009.0,5,0.6513743935189278
4.1,-73.982279,40.768364,-73.985968,40.762939,1.0,748.0,21.0,18.0,1.0,2011.0,5,0.42162249208539004
11.7,-73.98149599999999,40.781003999999996,-73.99592,40.738813,1.0,784.0,26.0,20.0,2.0,2011.0,6,3.011269717505381
16.71,-73.99772800000001,40.746099,-73.94765600000001,40.829451,1.0,1629.0,22.0,2.0,6.0,2013.0,6,6.326782206340549
5.7,-73.982357,40.762498,-73.97321,40.755345,2.0,156.0,6.0,23.0,6.0,2009.0,6,0.6880590627258854
5.3,-73.96706999999999,40.769178000000004,-73.954895,40.778209999999994,1.0,23.0,24.0,9.0,1.0,2009.0,6,0.8917768338082445
10.5,-73.94402313,40.77595901,-73.95504761,40.78507996,3.0,2243.0,27.0,7.0,2.0,2015.0,5,0.854300866992549
4.9,-73.982095,40.774001,-73.975373,40.787110999999996,1.0,83.0,25.0,14.0,3.0,2009.0,3,0.9716897514104025
6.5,-73.98353,40.766992,-73.986255,40.779708,4.0,616.0,10.0,18.0,9.0,2010.0,5,0.8900852612893938
11.3,-73.981154,40.729203999999996,-74.007407,40.748509999999996,2.0,968.0,31.0,13.0,8.0,2011.0,3,1.9152699504721702
11.5,-73.963511,40.761732,-73.917488,40.739776,1.0,1558.0,12.0,4.0,4.0,2013.0,5,2.8468087761623426
5.3,-73.98341500000001,40.761844,-73.990414,40.756375,2.0,148.0,29.0,9.0,5.0,2009.0,5,0.526269640641031
5.7,-74.006055,40.733166,-74.002895,40.74553,1.0,559.0,15.0,19.0,7.0,2010.0,4,0.8701401555222853
8.1,-73.952198,40.788107000000004,-73.980767,40.774995000000004,1.0,249.0,7.0,18.0,9.0,2009.0,1,1.7477934415400724
6.1,-74.008083,40.719238,-73.99831999999999,40.737977,1.0,523.0,9.0,6.0,6.0,2010.0,3,1.3919993894778715
9.3,-73.995636,40.746573,-73.984437,40.767145,1.0,1196.0,15.0,17.0,4.0,2012.0,0,1.5374935122913223
4.5,-73.972072,40.755691999999996,-73.972082,40.755727,2.0,1493.0,6.0,14.0,2.0,2013.0,3,0.0024744986816589145
5.7,-73.99049000000001,40.755982,-73.974202,40.75421,4.0,1072.0,13.0,5.0,12.0,2011.0,2,0.861239242236178
16.5,-73.95485,40.76542,-74.00751,40.73877,2.0,2029.0,27.0,8.0,7.0,2014.0,0,3.3147541298401126
17.0,-73.954462,40.764046,-73.99459300000001,40.729271999999995,2.0,1613.0,6.0,15.0,6.0,2013.0,4,3.1914802500697603
12.23,-74.01278,40.707952,-73.99793199999999,40.760632,6.0,2014.0,12.0,15.0,7.0,2014.0,6,3.72192278070436
6.1,-74.005278,40.735298,-73.986698,40.729892,1.0,508.0,25.0,20.0,5.0,2010.0,2,1.0420269040574424
6.0,-74.004935,40.729625,-74.01615600000001,40.71741,1.0,1342.0,8.0,0.0,9.0,2012.0,6,1.0283644983640652
6.5,-73.998488,40.726303,-73.998488,40.726303,1.0,1829.0,8.0,21.0,1.0,2014.0,3,0.0
4.5,-73.9265,40.765577,-73.93789699999999,40.764509999999994,3.0,1333.0,30.0,18.0,8.0,2012.0,4,0.6009537193544879
9.63,-73.987285,40.718621999999996,-73.959295,40.778482000000004,1.0,1578.0,2.0,7.0,5.0,2013.0,4,4.387757449938816
16.0,-73.996652,40.744495,-73.980253,40.737635,1.0,1857.0,5.0,0.0,2.0,2014.0,3,0.9806376975211192
16.1,-73.959222,40.763282000000004,-73.9633,40.716935,1.0,376.0,12.0,17.0,1.0,2010.0,2,3.2093766388378313
15.7,-73.97489499999999,40.751455,-73.98175400000001,40.783542,2.0,674.0,7.0,17.0,11.0,2010.0,0,2.2458638444966774
8.27,-73.863072,40.768622,-73.98214499999999,40.736167,6.0,1203.0,22.0,0.0,4.0,2012.0,0,6.623516076544995
5.5,-73.989692,40.735496999999995,-73.982012,40.739391999999995,1.0,1461.0,5.0,21.0,1.0,2013.0,6,0.48382146004644794
6.0,-74.00031,40.747961,-73.993636,40.757228999999995,1.0,1734.0,5.0,9.0,10.0,2013.0,6,0.7294398346933657
7.7,-74.00145,40.717487,-74.017455,40.709785,1.0,319.0,16.0,23.0,11.0,2009.0,1,0.9928617600044793
12.9,-73.985185,40.72777,-73.98060500000001,40.759143,1.0,821.0,5.0,11.0,4.0,2011.0,2,2.1808834427726516
11.3,-73.993973,40.746577,-74.00506,40.709365000000005,1.0,1206.0,25.0,20.0,4.0,2012.0,3,2.6358220035438324
14.87,-73.795677,40.807722,-73.97868299999999,40.724365,2.0,737.0,10.0,16.0,1.0,2011.0,1,11.175159432736931
5.7,-73.98637,40.74738,-73.975567,40.744572,2.0,741.0,14.0,18.0,1.0,2011.0,5,0.5978485713089495
5.3,-73.948001,40.77854,-73.958566,40.778483,2.0,1183.0,2.0,8.0,4.0,2012.0,1,0.5527773005495193
10.5,-73.95410799999999,40.766901000000004,-73.984133,40.743475,1.0,404.0,10.0,8.0,2.0,2010.0,3,2.2559496114041835
7.3,-73.99400899999999,40.76144,-73.972811,40.792574,1.0,877.0,31.0,22.0,5.0,2011.0,2,2.420243120817851
4.5,-73.99533100000001,40.739986,-73.987655,40.736707,1.0,994.0,26.0,9.0,9.0,2011.0,1,0.4613174506496169
12.5,-73.982332,40.768633,-73.983343,40.744372,1.0,1387.0,23.0,8.0,10.0,2012.0,2,1.6771080812128236
16.5,-73.9952,40.731697,-73.94977,40.780347,1.0,1706.0,7.0,22.0,9.0,2013.0,6,4.1173366640035125
4.9,-74.002707,40.72664,-73.991825,40.72722,2.0,1303.0,31.0,19.0,7.0,2012.0,2,0.571198149423985
4.1,-73.990953,40.733067,-73.996235,40.725570000000005,1.0,964.0,26.0,8.0,8.0,2011.0,5,0.5871982991981375
15.5,-73.985132,40.76853,-74.002285,40.730008000000005,1.0,1532.0,17.0,12.0,3.0,2013.0,0,2.808969156231052
11.0,-73.97221375,40.76557159,-73.97958374,40.73646927,1.0,2330.0,25.0,15.0,5.0,2015.0,1,2.047444856163846
4.9,-73.998287,40.72749,-73.98985400000001,40.735239,2.0,97.0,8.0,19.0,4.0,2009.0,3,0.6939783557406278
11.3,-73.98019599999999,40.726966,-73.956413,40.77547,1.0,156.0,6.0,1.0,6.0,2009.0,6,3.5750333915156016
